attendance,internal_marks,assignment_marks,study_hours,previous_marks,performance
48,41,42,1,48,At Risk
92,93,78,7,89,Good
63,72,69,4,54,Average
72,62,54,4,73,Average
65,67,63,4,58,Average
88,97,92,5,99,Good
43,41,46,2,33,At Risk
46,38,45,1,43,At Risk
94,94,85,8,94,Good
79,52,61,4,50,Average
44,34,40,2,44,At Risk
60,58,72,3,61,Average
79,71,69,3,62,Average
88,81,80,5,93,Good
42,49,49,2,43,At Risk
76,74,59,4,53,Average
100,77,85,8,81,Good
44,49,47,1,47,At Risk
77,72,66,4,62,Average
64,70,71,5,63,Average
56,44,43,1,43,At Risk
49,45,35,2,42,At Risk
45,42,39,2,34,At Risk
94,90,76,9,95,Good
74,52,73,4,62,Average
97,94,91,6,77,Good
88,88,83,9,84,Good
74,57,59,4,64,Average
49,47,34,2,30,At Risk
41,30,32,1,48,At Risk
87,86,91,7,98,Good
45,41,30,1,48,At Risk
96,92,80,9,97,Good
81,96,86,5,76,Good
78,69,51,4,63,Average
100,86,88,8,84,Good
58,35,36,1,35,At Risk
62,74,65,5,57,Average
59,33,41,1,37,At Risk
78,69,60,5,72,Average
43,42,46,1,41,At Risk
67,50,57,5,73,Average
46,32,46,1,48,At Risk
71,67,53,5,52,Average
55,42,49,2,49,At Risk
59,32,39,2,45,At Risk
65,52,62,3,65,Average
73,54,54,3,65,Average
55,31,40,1,49,At Risk
48,43,34,2,37,At Risk
40,38,38,1,41,At Risk
99,83,94,10,84,Good
93,77,99,6,94,Good
58,39,37,1,38,At Risk
74,52,59,5,62,Average
74,69,50,4,64,Average
40,34,47,2,41,At Risk
46,42,39,2,35,At Risk
73,51,50,4,57,Average
45,40,30,1,36,At Risk
66,69,58,3,59,Average
52,45,33,2,37,At Risk
43,34,41,1,49,At Risk
75,50,51,4,62,Average
44,46,48,2,42,At Risk
98,86,83,8,77,Good
52,30,39,2,31,At Risk
83,90,86,10,80,Good
78,67,66,5,63,Average
56,43,33,2,46,At Risk
73,51,72,4,74,Average
87,75,91,9,98,Good
92,78,93,7,91,Good
49,45,38,1,38,At Risk
67,71,55,5,50,Average
63,72,51,5,67,Average
87,82,83,9,87,Good
43,33,34,1,34,At Risk
67,59,50,4,51,Average
40,36,32,1,42,At Risk
51,44,31,2,32,At Risk
47,33,40,2,32,At Risk
43,40,40,2,37,At Risk
80,85,94,8,81,Good
89,95,84,7,92,Good
89,91,86,9,92,Good
53,42,39,1,37,At Risk
49,35,34,1,34,At Risk
94,83,94,10,96,Good
71,72,74,5,54,Average
44,44,49,2,43,At Risk
72,60,59,3,66,Average
62,53,56,5,71,Average
67,54,61,4,74,Average
86,79,99,5,75,Good
62,70,59,5,67,Average
95,78,92,8,79,Good
58,49,31,2,44,At Risk
45,37,44,1,37,At Risk
87,88,98,7,87,Good
64,57,61,5,60,Average
49,37,48,2,37,At Risk
48,32,37,2,41,At Risk
67,69,57,3,59,Average
56,45,46,1,46,At Risk
64,67,53,4,57,Average
45,47,41,2,41,At Risk
52,35,39,2,35,At Risk
67,53,63,5,73,Average
68,72,72,3,57,Average
57,30,39,2,41,At Risk
95,80,94,9,76,Good
69,70,66,5,56,Average
99,83,79,6,85,Good
89,79,86,5,78,Good
90,98,98,8,76,Good
86,85,97,6,78,Good
87,89,96,7,91,Good
83,98,100,9,96,Good
65,73,68,5,56,Average
68,56,54,4,65,Average
91,84,98,6,80,Good
78,71,53,4,65,Average
66,72,59,5,64,Average
57,41,39,1,43,At Risk
84,89,94,8,84,Good
75,67,72,4,64,Average
79,68,67,5,56,Average
76,71,58,3,68,Average
95,91,100,8,77,Good
90,82,98,9,91,Good
40,30,36,1,38,At Risk
53,44,49,2,43,At Risk
85,92,77,6,91,Good
78,60,64,3,73,Average
71,71,67,4,56,Average
57,40,45,1,48,At Risk
43,42,41,1,39,At Risk
93,77,94,7,90,Good
78,56,59,3,52,Average
53,33,35,2,48,At Risk
93,94,84,7,85,Good
72,56,69,5,70,Average
93,91,88,5,85,Good
57,43,34,1,40,At Risk
71,65,62,5,62,Average
94,86,97,10,90,Good
66,67,55,4,70,Average
68,66,74,3,50,Average
87,79,77,6,96,Good
64,58,72,4,55,Average
62,57,73,3,68,Average
80,78,78,5,84,Good
79,63,59,5,69,Average
95,77,89,8,76,Good
92,82,96,8,87,Good
100,87,93,5,87,Good
48,33,34,2,40,At Risk
55,47,40,1,34,At Risk
44,35,34,2,35,At Risk
47,49,47,2,43,At Risk
70,69,51,5,66,Average
88,77,97,5,93,Good
57,44,31,2,37,At Risk
55,40,46,1,42,At Risk
47,47,34,2,39,At Risk
52,33,36,2,31,At Risk
75,50,59,4,74,Average
76,63,52,5,64,Average
95,90,86,5,83,Good
40,45,37,1,46,At Risk
51,45,36,1,36,At Risk
92,86,97,5,83,Good
54,31,48,1,32,At Risk
58,46,36,2,35,At Risk
70,57,59,3,62,Average
52,37,38,2,38,At Risk
76,64,57,3,64,Average
46,43,39,2,39,At Risk
40,47,30,1,39,At Risk
51,43,40,1,32,At Risk
72,54,58,5,50,Average
65,66,67,3,56,Average
63,70,54,4,52,Average
100,81,94,9,77,Good
76,72,52,3,54,Average
94,79,84,9,83,Good
98,79,84,10,77,Good
46,34,33,2,31,At Risk
43,33,36,1,44,At Risk
48,46,37,2,42,At Risk
65,64,73,5,70,Average
84,76,93,5,87,Good
96,89,77,9,77,Good
79,63,69,3,65,Average
55,44,33,1,46,At Risk
51,31,34,2,49,At Risk
74,67,59,4,74,Average
79,50,58,5,52,Average
58,49,37,2,49,At Risk
68,55,51,4,63,Average
91,97,89,9,94,Good
52,39,38,2,33,At Risk
89,82,76,10,77,Good
56,41,41,1,36,At Risk
88,84,91,7,87,Good
75,62,69,4,74,Average
71,68,59,3,59,Average
52,48,49,2,44,At Risk
43,35,33,1,46,At Risk
41,33,48,1,44,At Risk
87,99,94,5,92,Good
77,70,58,4,71,Average
60,73,70,5,65,Average
79,63,66,3,56,Average
48,35,48,2,39,At Risk
68,50,70,5,60,Average
84,78,97,9,92,Good
53,33,33,1,42,At Risk
65,65,71,3,52,Average
55,37,31,2,31,At Risk
68,67,67,4,62,Average
80,90,93,9,78,Good
85,79,91,8,80,Good
82,85,83,7,99,Good
84,82,80,8,89,Good
91,86,97,9,83,Good
78,50,57,5,56,Average
70,74,53,3,60,Average
75,51,62,3,56,Average
90,87,79,6,78,Good
92,78,90,10,87,Good
46,32,47,1,47,At Risk
97,83,82,5,95,Good
62,72,50,3,61,Average
52,41,35,2,48,At Risk
96,94,92,7,79,Good
98,93,93,9,75,Good
61,72,63,3,61,Average
92,84,86,6,86,Good
100,86,77,10,86,Good
40,49,35,2,42,At Risk
63,66,62,3,58,Average
48,32,42,1,33,At Risk
63,56,53,5,64,Average
66,50,52,3,63,Average
87,97,94,5,76,Good
70,66,65,4,57,Average
96,76,75,8,82,Good
41,40,48,1,48,At Risk
57,37,41,2,49,At Risk
82,81,92,9,84,Good
63,54,56,4,69,Average
66,59,57,3,54,Average
69,56,61,5,60,Average
74,69,66,5,58,Average
99,81,90,8,92,Good
62,69,57,5,59,Average
60,61,65,3,62,Average
99,91,100,6,98,Good
86,85,91,8,84,Good
63,62,51,4,55,Average
41,40,32,1,40,At Risk
54,40,43,1,36,At Risk
95,80,78,5,100,Good
95,97,92,8,91,Good
87,97,83,8,79,Good
56,47,34,1,34,At Risk
55,48,45,2,49,At Risk
85,81,84,6,91,Good
83,93,89,8,96,Good
84,96,86,9,88,Good
48,47,30,1,35,At Risk
93,94,96,5,91,Good
68,65,63,5,56,Average
66,60,66,3,73,Average
69,66,51,4,72,Average
82,79,96,6,97,Good
49,39,38,1,44,At Risk
41,31,35,2,49,At Risk
87,91,75,7,85,Good
85,84,94,7,94,Good
60,58,66,4,63,Average
40,42,48,1,43,At Risk
57,47,41,2,32,At Risk
90,92,95,7,79,Good
91,96,77,10,84,Good
97,97,91,10,79,Good
42,39,31,1,40,At Risk
68,54,52,4,51,Average
94,92,92,9,82,Good
71,70,71,5,57,Average
50,41,33,2,34,At Risk
77,74,50,4,70,Average
72,73,60,3,52,Average
45,41,35,1,38,At Risk
85,96,96,9,94,Good
96,100,97,6,85,Good
74,59,61,5,67,Average
91,78,89,6,86,Good
79,51,55,4,57,Average
69,58,71,4,68,Average
60,71,67,4,60,Average
51,49,46,1,37,At Risk
69,51,69,4,65,Average
41,39,33,2,37,At Risk
45,32,37,2,49,At Risk
98,100,100,9,94,Good
85,77,92,5,100,Good
94,96,91,7,83,Good
97,78,90,8,84,Good
54,43,45,2,33,At Risk
99,76,76,9,82,Good
41,44,34,1,48,At Risk
43,38,40,2,35,At Risk
43,32,39,1,31,At Risk
84,81,92,5,78,Good
67,61,72,4,58,Average
48,45,35,2,31,At Risk
75,51,68,3,63,Average
41,47,38,2,43,At Risk
41,49,37,2,40,At Risk
85,75,98,10,98,Good
82,85,88,5,87,Good
57,44,47,2,42,At Risk
46,38,39,1,39,At Risk
76,55,71,3,52,Average
88,98,97,8,76,Good
95,92,92,5,79,Good
81,88,93,6,88,Good
76,67,61,5,59,Average
41,40,32,2,38,At Risk
69,55,60,3,59,Average
90,97,80,10,76,Good
97,82,87,6,93,Good
84,83,94,8,81,Good
66,63,66,5,72,Average
50,31,46,1,42,At Risk
47,47,45,2,30,At Risk
72,57,55,4,51,Average
74,51,64,5,64,Average
82,93,85,6,95,Good
48,42,35,1,48,At Risk
95,83,92,9,95,Good
89,87,84,5,83,Good
93,80,78,9,100,Good
63,58,63,3,52,Average
66,54,62,5,57,Average
58,39,30,2,34,At Risk
86,91,94,8,93,Good
55,30,38,1,32,At Risk
80,89,86,6,100,Good
69,53,74,5,74,Average
85,97,87,10,95,Good
100,100,89,6,100,Good
59,48,40,1,40,At Risk
51,41,30,1,46,At Risk
51,31,49,2,30,At Risk
73,74,55,3,55,Average
59,40,33,1,48,At Risk
100,76,77,5,84,Good
52,32,38,1,43,At Risk
65,55,65,5,71,Average
100,98,88,6,82,Good
41,40,48,1,39,At Risk
57,32,30,1,47,At Risk
44,41,38,1,40,At Risk
95,86,97,9,93,Good
89,100,91,9,95,Good
84,78,88,5,100,Good
68,71,58,5,54,Average
87,88,77,10,88,Good
66,52,69,5,74,Average
89,86,79,7,81,Good
49,46,33,1,33,At Risk
82,81,92,7,82,Good
80,88,97,9,84,Good
58,39,35,1,39,At Risk
97,100,84,6,91,Good
47,32,33,2,49,At Risk
58,48,36,1,47,At Risk
60,60,71,4,65,Average
86,77,86,8,80,Good
100,86,77,5,94,Good
43,31,42,2,47,At Risk
58,32,34,1,46,At Risk
74,59,51,4,53,Average
43,31,45,2,46,At Risk
78,69,61,4,65,Average
44,31,43,1,33,At Risk
85,98,78,6,81,Good
96,82,91,9,93,Good
54,39,31,2,45,At Risk
96,96,75,6,83,Good
53,48,41,1,43,At Risk
55,43,30,1,37,At Risk
71,64,66,3,60,Average
48,49,46,2,45,At Risk
97,99,76,10,94,Good
85,89,79,7,82,Good
62,73,56,4,57,Average
59,33,42,2,49,At Risk
47,32,31,1,40,At Risk
45,39,46,2,39,At Risk
56,34,47,1,33,At Risk
81,98,89,5,95,Good
87,96,88,6,97,Good
90,88,94,5,79,Good
46,41,31,2,34,At Risk
76,67,74,3,73,Average
48,33,41,1,42,At Risk
74,56,72,4,51,Average
52,39,36,2,49,At Risk
98,75,76,6,93,Good
92,88,90,10,87,Good
66,52,63,3,66,Average
54,43,39,2,49,At Risk
59,39,47,2,43,At Risk
66,66,54,4,63,Average
40,33,41,2,35,At Risk
77,53,71,3,58,Average
85,99,77,5,83,Good
61,64,60,4,74,Average
45,41,45,2,38,At Risk
85,88,82,9,80,Good
81,77,76,5,75,Good
86,100,95,8,77,Good
46,48,36,2,47,At Risk
51,35,45,2,39,At Risk
83,97,99,9,88,Good
94,96,88,7,76,Good
54,44,31,1,46,At Risk
87,86,81,10,75,Good
87,75,95,5,85,Good
70,69,61,3,63,Average
68,66,67,3,65,Average
72,59,66,4,72,Average
86,79,75,8,87,Good
100,84,94,10,99,Good
99,87,75,10,83,Good
64,52,72,4,73,Average
56,30,41,1,38,At Risk
44,31,41,2,48,At Risk
100,80,82,7,80,Good
77,67,71,5,51,Average
56,36,43,1,40,At Risk
82,94,79,7,78,Good
41,42,43,2,41,At Risk
72,71,68,5,74,Average
82,98,91,7,93,Good
51,45,35,2,35,At Risk
52,43,49,2,47,At Risk
89,100,97,9,79,Good
67,69,63,5,55,Average
46,31,33,1,34,At Risk
95,88,99,8,75,Good
73,66,65,3,51,Average
54,49,42,2,43,At Risk
73,71,64,3,53,Average
54,49,45,1,38,At Risk
75,52,54,3,74,Average
65,61,70,4,74,Average
51,34,40,2,42,At Risk
95,91,97,9,81,Good
45,34,37,2,39,At Risk
46,33,49,1,35,At Risk
74,58,50,4,73,Average
49,32,46,1,36,At Risk
96,85,75,6,85,Good
79,52,65,3,74,Average
79,52,57,4,65,Average
87,91,97,6,77,Good
65,53,56,3,54,Average
51,36,42,1,43,At Risk
52,37,44,2,38,At Risk
59,43,36,1,30,At Risk
47,44,39,2,49,At Risk
48,31,34,1,47,At Risk
74,62,59,3,58,Average
71,53,70,5,63,Average
95,87,83,5,85,Good
84,75,86,6,97,Good
64,66,59,3,59,Average
63,51,63,5,62,Average
75,71,59,3,74,Average
72,71,55,3,62,Average
97,81,90,5,99,Good
81,87,98,5,84,Good
65,69,68,5,61,Average
92,92,87,9,84,Good
77,68,55,3,60,Average
81,96,82,6,96,Good
64,54,60,5,59,Average
64,57,51,5,67,Average
78,69,74,3,65,Average
96,89,80,5,88,Good
90,75,100,9,86,Good
91,95,87,6,86,Good
78,71,63,3,70,Average
41,39,33,1,41,At Risk
85,82,93,9,91,Good
78,50,64,4,69,Average
74,64,65,3,73,Average
88,95,80,5,83,Good
49,31,46,2,42,At Risk
64,53,72,5,67,Average
51,48,37,2,34,At Risk
78,64,55,4,64,Average
99,95,90,10,89,Good
72,68,57,5,55,Average
64,71,71,5,51,Average
67,74,60,4,63,Average
80,91,82,10,77,Good
51,34,45,1,49,At Risk
86,82,75,8,91,Good
49,45,35,2,31,At Risk
100,100,76,9,98,Good
62,57,53,3,57,Average
66,74,67,3,55,Average
75,59,56,4,57,Average
58,48,38,1,43,At Risk
59,47,32,1,37,At Risk
79,57,70,4,61,Average
71,67,65,3,70,Average
63,58,71,4,58,Average
51,41,35,1,41,At Risk
74,53,52,4,51,Average
56,37,33,2,36,At Risk
55,46,34,1,49,At Risk
99,81,91,10,97,Good
45,35,39,2,36,At Risk
88,75,83,6,81,Good
50,38,30,1,39,At Risk
91,92,76,7,80,Good
47,38,32,1,30,At Risk
91,94,79,8,92,Good
49,30,46,1,48,At Risk
54,41,39,1,37,At Risk
90,90,76,7,87,Good
92,93,99,9,100,Good
54,33,30,2,30,At Risk
92,82,82,6,89,Good
65,74,60,5,68,Average
67,65,71,5,50,Average
64,69,56,4,59,Average
74,53,63,4,65,Average
58,45,36,2,47,At Risk
94,85,81,10,76,Good
75,68,51,3,67,Average
98,76,98,10,95,Good
92,80,84,8,89,Good
48,48,33,2,46,At Risk
47,42,30,1,32,At Risk
65,57,70,4,52,Average
75,55,69,5,51,Average
92,98,92,9,96,Good
89,98,94,5,80,Good
74,60,65,5,65,Average
83,92,80,9,76,Good
99,94,93,6,81,Good
59,35,46,1,40,At Risk
81,98,92,5,89,Good
92,90,96,9,99,Good
40,31,35,1,42,At Risk
82,75,88,6,97,Good
69,55,74,5,53,Average
90,89,84,8,90,Good
56,48,41,2,47,At Risk
66,58,54,3,57,Average
40,48,42,1,48,At Risk
82,85,93,8,84,Good
81,84,90,6,85,Good
63,69,69,4,59,Average
71,55,52,4,54,Average
88,75,95,5,93,Good
87,85,82,5,90,Good
84,78,99,7,98,Good
59,34,34,2,34,At Risk
77,68,64,3,62,Average
76,60,57,5,62,Average
79,65,61,5,70,Average
66,70,61,4,69,Average
47,33,30,2,47,At Risk
96,83,87,5,94,Good
57,38,36,2,35,At Risk
96,91,81,7,84,Good
69,52,73,3,54,Average
66,59,59,3,55,Average
43,39,49,1,39,At Risk
89,82,87,5,91,Good
75,65,69,4,73,Average
65,72,55,3,65,Average
82,75,94,10,92,Good
85,87,95,7,98,Good
65,72,53,3,70,Average
47,37,38,1,34,At Risk
49,42,33,2,37,At Risk
69,61,66,4,52,Average
45,45,42,1,37,At Risk
87,93,84,8,80,Good
81,91,76,7,83,Good
44,36,41,1,40,At Risk
69,61,62,4,55,Average
47,34,43,2,39,At Risk
94,95,97,10,83,Good
63,54,56,3,71,Average
84,91,77,9,91,Good
80,76,94,6,87,Good
75,63,72,3,61,Average
47,38,32,2,49,At Risk
85,92,88,6,92,Good
81,86,97,5,84,Good
68,53,58,4,61,Average
41,38,47,1,48,At Risk
90,81,86,5,75,Good
65,52,60,5,54,Average
82,100,87,9,76,Good
77,61,64,3,73,Average
47,32,30,2,41,At Risk
81,89,98,10,81,Good
75,58,70,4,59,Average
96,99,86,6,81,Good
55,48,30,2,40,At Risk
85,82,79,6,84,Good
41,31,37,2,34,At Risk
53,33,42,2,38,At Risk
71,54,54,5,54,Average
99,76,80,10,86,Good
74,66,63,5,59,Average
61,50,64,3,61,Average
57,33,31,1,46,At Risk
83,88,82,8,93,Good
56,41,36,2,31,At Risk
95,79,100,9,85,Good
91,85,97,10,79,Good
92,78,88,9,78,Good
61,71,60,5,62,Average
75,65,50,4,56,Average
76,64,56,5,59,Average
79,70,58,3,74,Average
54,44,36,2,34,At Risk
70,63,56,4,56,Average
52,34,31,2,33,At Risk
63,74,68,4,71,Average
83,99,97,9,100,Good
46,42,48,2,48,At Risk
45,49,33,1,41,At Risk
43,45,31,2,40,At Risk
76,53,60,3,51,Average
50,48,47,2,32,At Risk
97,89,98,6,77,Good
42,43,37,2,44,At Risk
62,52,60,3,55,Average
68,67,63,4,72,Average
60,53,71,4,52,Average
84,92,90,6,100,Good
91,82,96,10,88,Good
95,92,91,7,97,Good
40,46,39,2,33,At Risk
88,97,89,6,86,Good
75,51,63,3,70,Average
87,100,82,10,79,Good
49,33,39,1,32,At Risk
43,44,40,1,39,At Risk
68,65,73,3,71,Average
74,54,50,3,63,Average
40,48,33,1,48,At Risk
68,66,69,4,68,Average
99,100,87,7,84,Good
82,81,91,10,99,Good
71,71,63,4,50,Average
56,33,41,1,31,At Risk
63,61,73,4,65,Average
100,95,82,10,92,Good
46,44,35,1,38,At Risk
100,84,85,7,80,Good
85,98,97,9,78,Good
65,54,62,5,72,Average
91,94,99,7,91,Good
76,58,70,3,61,Average
99,99,93,6,88,Good
69,70,68,3,68,Average
58,45,42,1,49,At Risk
58,41,39,2,36,At Risk
81,99,82,9,78,Good
52,41,45,2,32,At Risk
49,30,49,1,32,At Risk
98,91,85,7,97,Good
59,31,33,1,43,At Risk
95,76,78,6,98,Good
40,35,36,2,43,At Risk
56,47,47,1,44,At Risk
73,57,54,4,62,Average
57,46,44,1,33,At Risk
72,65,60,3,73,Average
55,30,32,1,48,At Risk
48,33,43,2,36,At Risk
90,86,92,10,80,Good
79,65,72,5,58,Average
69,65,53,3,60,Average
84,90,77,8,89,Good
74,62,63,4,66,Average
60,68,65,3,67,Average
86,99,83,9,100,Good
49,32,37,1,33,At Risk
42,49,47,2,45,At Risk
41,47,32,1,34,At Risk
61,60,50,5,67,Average
69,71,62,5,66,Average
52,43,45,1,34,At Risk
71,74,70,3,65,Average
71,67,71,5,65,Average
85,94,83,6,97,Good
93,97,75,5,78,Good
46,32,40,1,30,At Risk
87,95,100,9,96,Good
82,96,78,9,92,Good
88,91,78,9,80,Good
53,45,35,2,47,At Risk
58,43,39,1,46,At Risk
40,32,44,1,36,At Risk
90,79,75,8,89,Good
69,74,72,3,72,Average
88,77,76,5,78,Good
66,56,61,4,61,Average
63,69,64,3,54,Average
50,30,49,2,36,At Risk
44,32,43,1,32,At Risk
45,49,34,2,48,At Risk
57,33,42,1,42,At Risk
53,35,48,1,30,At Risk
40,32,32,2,43,At Risk
95,86,91,6,97,Good
62,54,59,5,52,Average
58,31,48,2,32,At Risk
99,92,97,8,85,Good
77,60,56,4,67,Average
90,77,75,6,84,Good
89,96,86,5,93,Good
68,60,61,3,56,Average
42,46,33,2,33,At Risk
64,58,59,5,54,Average
61,60,65,4,57,Average
94,83,95,6,92,Good
92,77,87,6,81,Good
56,34,34,2,33,At Risk
95,89,100,7,88,Good
45,42,40,2,34,At Risk
54,37,37,1,37,At Risk
63,74,61,5,51,Average
77,71,65,4,59,Average
70,72,72,5,57,Average
44,48,30,2,44,At Risk
64,56,67,3,62,Average
47,36,43,1,31,At Risk
52,38,35,1,40,At Risk
95,91,78,5,97,Good
73,62,57,5,73,Average
89,95,98,6,90,Good
71,74,59,4,68,Average
77,64,71,5,56,Average
67,56,59,3,59,Average
98,99,86,5,97,Good
42,48,30,2,44,At Risk
64,56,63,3,57,Average
52,32,32,1,30,At Risk
70,55,51,5,69,Average
78,64,63,5,52,Average
43,44,46,2,44,At Risk
78,73,62,5,71,Average
74,56,52,5,51,Average
56,49,42,2,49,At Risk
49,45,48,2,44,At Risk
84,98,88,5,95,Good
47,49,46,1,39,At Risk
56,47,31,2,46,At Risk
96,80,84,8,100,Good
56,43,46,2,31,At Risk
61,60,69,4,58,Average
57,49,48,1,44,At Risk
88,97,98,7,81,Good
57,33,32,1,49,At Risk
91,96,93,7,90,Good
90,84,76,6,82,Good
55,46,38,2,35,At Risk
96,86,85,5,83,Good
57,41,43,2,38,At Risk
45,45,30,1,30,At Risk
100,94,90,8,84,Good
87,97,94,6,75,Good
62,71,52,4,57,Average
41,44,48,2,39,At Risk
61,65,61,5,67,Average
68,63,65,3,55,Average
74,52,60,5,72,Average
100,83,75,7,86,Good
41,30,37,2,49,At Risk
72,53,63,5,73,Average
79,61,57,3,50,Average
61,52,72,5,62,Average
71,64,65,3,56,Average
71,74,56,4,61,Average
79,56,68,5,73,Average
100,84,78,6,98,Good
72,63,71,5,67,Average
91,92,94,6,93,Good
96,94,84,5,82,Good
97,97,81,9,80,Good
94,77,96,8,85,Good
54,31,49,1,31,At Risk
61,67,50,4,59,Average
67,65,55,4,50,Average
80,79,91,7,94,Good
99,90,100,6,83,Good
98,90,80,5,92,Good
89,92,85,6,90,Good
75,61,61,5,66,Average
89,100,75,6,98,Good
55,35,41,2,37,At Risk
62,57,50,5,59,Average
42,33,41,1,43,At Risk
76,55,71,5,58,Average
43,35,37,1,39,At Risk
82,94,81,10,86,Good
96,85,96,8,99,Good
88,90,89,8,87,Good
41,38,36,1,48,At Risk
47,36,36,2,33,At Risk
69,69,67,5,73,Average
42,42,48,2,48,At Risk
100,79,100,5,99,Good
50,38,31,1,31,At Risk
82,98,99,6,93,Good
71,53,67,3,66,Average
94,79,99,10,82,Good
89,79,83,10,84,Good
76,60,63,3,53,Average
80,87,78,10,76,Good
54,47,37,2,33,At Risk
79,70,70,3,62,Average
89,76,79,9,91,Good
92,100,87,8,80,Good
96,98,86,5,100,Good
66,68,72,4,51,Average
95,87,94,5,76,Good
68,68,56,4,62,Average
87,82,82,6,89,Good
61,65,55,5,69,Average
46,40,33,1,41,At Risk
76,70,50,4,62,Average
78,52,60,5,60,Average
43,46,42,2,34,At Risk
50,38,39,1,45,At Risk
78,69,60,4,66,Average
72,57,66,4,67,Average
41,49,32,2,32,At Risk
60,52,66,3,64,Average
63,52,62,5,60,Average
80,98,85,5,93,Good
60,59,67,5,55,Average
96,85,98,5,88,Good
90,89,89,10,77,Good
80,80,79,8,89,Good
58,48,41,1,47,At Risk
82,86,78,9,86,Good
60,53,74,3,55,Average
66,51,72,3,56,Average
62,72,54,4,54,Average
56,40,38,2,42,At Risk
45,32,48,1,34,At Risk
72,71,55,3,69,Average
53,41,39,1,40,At Risk
63,72,73,3,57,Average
85,78,91,10,78,Good
51,32,38,2,44,At Risk
85,93,92,9,99,Good
96,91,77,5,93,Good
